"Project #","Project Title","Research Focus Area","Research Program","Administering IC(s)",Institution(s),Investigator(s),Location(s),"Year Awarded",Summary
3UG1DA040314-05S6,"OUD Phenotyping Feasibility for Clinical Trials","Translation of Research to Practice for the Treatment of Opioid Addiction","Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids",NIDA,"KAISER FOUNDATION RESEARCH INSTITUTE","CAMPBELL, CYNTHIA I; BRADLEY, KATHARINE ANTHONY; WEISNER, CONSTANCE M.","Oakland, CA",2019,"Very little research has been conducted on better understanding of phenotypic characterization of individuals with OUD (beyond DSM-5 diagnoses) and how these features predict illness severity, treatment retention or outcomes. The primary objective of the deep phenotyping study is to provide a comprehensive phenotypic characterization (e.g., domains of negative affect, reward salience, cognitive control, mental health) of a heterogeneous sample of individuals (n = 1,000) who currently meet one or more DSM-5 diagnostic criteria for OUD and are in treatment for OUD. In a subset of this sample (n = 100), the investigators conduct digital phenotyping to examine the utility of ecological momentary assessment (EMA), digital sensing and social media to predict retention, medication adherence and opioid use outcomes in patients receiving buprenorphine for OUD. It is anticipated that this foundational study will inform the feasibility and utility of such assessments that can be successfully embedded into imminent and future CTN and other OUD clinical trials."
1U01DK123821-01,"Vanderbilt-West Virginia (VWV) Collaborative: A HOPE Consortium Clinical Center","Clinical Research in Pain Management","Integrated Approach to Pain and Opioid Use in Hemodialysis Patients",NIDDK,"VANDERBILT UNIVERSITY MEDICAL CENTER","CAVANAUGH, KERRI; EDWARDS, DAVID ALLAN","Nashville, TN",2019,"This study will collaborate with diverse stakeholders to design and conduct a multisite trial evaluating innovative strategies to reduce opioid dosing and improve quality of life and experience with care specific to pain management among adults receiving in-center hemodialysis. A pragmatic parallel arm trial will test the impact of adding a 12-week interactive video cognitive behavioral therapy (IV-CBT) intervention program, compared with CDC guideline-concordant shared decision-making (SDM) for NCCP pharmacotherapy management. The specific aims are to (1) conduct a multisite randomized trial to receive IV-CBT and SDM versus SDM alone over 15 months; (2) investigate and describe barriers and facilitators of the implementation of IV-CBT and also SDM among patients, clinicians, and dialysis staff; and (3) create a collaborative network of investigators and dialysis facilities for efficient recruitment and for dissemination of successful strategies to optimize pain care in dialysis."
1R61NS113315-01,"Biomarker Signature to Predict the Persistence of Post-Traumatic Headache","Preclinical and Translational Research in Pain Management","Discovery and Validation of Biomarkers, Endpoints, and Signatures for Pain Conditions",NINDS,"MAYO CLINIC ARIZONA","CHONG, CATHERINE DANIELA","Scottsdale, AZ",2019,"There is currently no recognized way of accurately predicting who will recover from post-traumatic headache (PTH) during the acute phase following concussion and who will go on to develop persistent post-traumatic headache (PPTH), a condition that is difficult to treat effectively. Clinical experience suggests that early treatment is most effective, before headache patterns become persistent, but treating all patients with PTH would expose some patients to unnecessary treatment. Clinicians lack the information needed to make informed treatment decisions. Therefore, the study goals are to develop a prognostic biomarker signature for PPTH using clinical data and structural and functional brain neuroimaging and to assess the predictive accuracy of an ensemble biomarker signature for the early identification of patients at high risk for PPTH. This study can be translated into clinical practice and integrated into PTH clinical trials for early identification of those individuals who are at high risk for PPTH."
1R34DA050340-01,"2/6 Planning for the HEALthy Early Development Study","Enhanced Outcomes for Infants and Children Exposed to Opioids","HEALthy Brain and Child Development Study (HBCD)",NIDA,"EMORY UNIVERSITY","COLES, CLAIRE D; KABLE, JULIE A","Atlanta, GA",2019,"The Planning for the HEALthy Early Development Study will contribute to the design and recommended protocol for a future large-scale, multi-site research study to prospectively examine human brain, cognitive, behavioral, social, and emotional development of children beginning prenatally through ages 9–10 and to determine the impact of maternal pre- and postnatal substance use on short- and long-term development of children. The planning study will link investigators across 6 research sites who have complementary experience and expertise in the areas that are essential to designing the study. Planning activities will be accomplished using a coordinated set of 10 working groups. By the end of the planning phase, the 6 consortium sites will have produced and tested a recommended protocol for the future multi-site study and will have established feasibility of carrying out the study protocol at each of the 6 linked sites."
3U24TR001597-04S1,"TIN Supplement","Clinical Research in Pain Management","Pain Management Effectiveness Research Network",NCATS,"University of Utah","Dean, Jonathan Michael","Salt Lake City, UT",2019,"no summary"
1R34DA050284-01,"1/5 The Cumulative Risk of Substance Exposure and Early Life Adversity on Child Health Development and Outcomes","Enhanced Outcomes for Infants and Children Exposed to Opioids","HEALthy Brain and Child Development Study (HBCD)",NIDA,"WOMEN AND INFANTS HOSPITAL-RHODE ISLAND","DEONI, SEAN CL; AMSO, DIMA ; D'SA, VIREN ANDREW; MUELLER, HANS-GEORG","Providence, RI",2019,"Despite increased efforts to understand the neurodevelopmental sequelae of in utero opioid and other substance exposure on long-term behavioral, cognitive, and societal outcomes, important questions remain, specifically, 1) How is brain growth disrupted by fetal substance and related pre- and post-natal exposures? and 2) How are these disrupted growth patterns causally related to later cognitive and behavioral outcomes? This project seeks to formulate an approach to addressing these key questions and decipher the individual and cumulative effect of these intertwined pre- and post-natal exposures on child neurodevelopment. First, researchers will address the legal, ethical, and mother-child care and support concerns implicit in this study. Next, they will integrate across our areas of neuroimaging expertise to develop, implement, and harmonize a multi-modal MRI and EEG protocol to assess maturing brain structure, function, and connectivity. Finally, researchers will develop and test advanced statistical approaches to model and analyze this multidimensional and longitudinal data."
DA013714-17S3,"Rural Expansion of Medication Treatment for Opioid Use Disorder (CTN-0102)","Translation of Research to Practice for the Treatment of Opioid Addiction","Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids",NIDA,"University of Washington","Donovan, Dennis","Seattle, WA",2019,"People who use opioids in rural areas suffer worse health and less insurance coverage. The opioid problem in rural areas is of particular concern, as rural areas have higher overdose rates despite equivalent rates of OUD. This is because rural areas have a scant number of clinics and clinicians who provide medication treatment for OUD. Thus, people living in rural areas must travel long distances to access clinics that may or may not have expertise in providing treatment to patients with OUD. Telemedicine (TM) could efficiently increase capacity for delivery of buprenorphine in rural areas and may increase the number of patients receiving medication treatment and improve treatment retention and outcomes. While the development of medication treatments for opioid use disorder (MOUD) capacity in primary care settings with optimal/comprehensive services is desirable, the current opioid crisis with escalating overdose death rates in rural areas suggests a need to implement an efficient, cost-effective system of MOUD services that can be scaled up quickly. The use of a centralized and Medicare-covered TM vendor utilizing a developed methodology and established organizational infrastructure offers the great potential for a rapid rollout to increase access to MOUD and improve treatment retention in rural areas. This cluster randomized clinical trial with two phases will test expanded treatment access to improve retention on MOUD in highly affected rural areas. Phase I will include implementing telemedicine in a limited number of rural sites with varying levels of office-based opioid treatment (OBOT) to inform implementation strategies for the main trial, and Phase II will include evaluate comparative effectiveness between OBOT alone and OBOT + TM at 30 sites."
1UH3NS115118-01,"Transcranial focused ultrasound for head and neck cancer pain.  A pilot study","Preclinical and Translational Research in Pain Management","Translating Discoveries into Effective Devices to Treat Pain",NINDS,"UNIVERSITY OF VIRGINIA","ELIAS, WILLIAM JEFFREY","Charlottesville, VA",2019,"Head and neck cancer is particularly susceptible to nociceptive and neuropathic pains because it is dense with sensitive anatomic structures and richly innervated. Transcranial magnetic resonance imaging–guided focused ultrasound (FUS) is a new stereotactic modality capable of delivering high-intensity energy through the intact human skull with submillimeter precision. This clinical trial will target the spinothalamic and spinoreticular pain circuits by unilateral FUS mesencephalotomy, an effective procedure for cancer pain but limited by the accuracy of its era. The primary aim is to assess the safety and preliminary effectiveness in six head and neck cancer patients with opioid-resistant pain. Researchers will investigate the potential mechanism of pain relief as the mesencephalotomy target involves the confluence of the ascending and descending pain systems. Aims 2 and 3 will investigate these systems with electrophysiology specific for the spinothalamic tract and carfentenil positron emission tomography imaging that measures the brain’s endogenous opioids."
1UH2AR076719-01,"Novel imaging of endplate biomarkers in chronic low back pain","Clinical Research in Pain Management","Back Pain Consortium Research Program",NIAMS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","FIELDS, AARON J","San Francisco, CA",2019,"This project will examine the association between end plate pathology and chronic low back pain (cLBP) and improve patient selection by developing and translating new imaging tools, technologies, and/or methods (iTTM) that provide accurate, noninvasive measures of end plate pathologies. A search for clinically relevant biomarkers of end plate pathology will focus on novel imaging measures of end plate bone marrow lesion (BML) severity with IDEAL MRI and cartilage endplate (CEP) fibrosis/damage with UTE MRI, assess interactions with paraspinal muscles, and identify metrics that associate with pain, disability, and degeneration. The research will refine imaging and post-processing methodologies by leveraging and expanding existing cross-sectional cohorts and then deploy and validate the new end plate iTTM to other BACPAC sites to test the most promising metricsâ€™ clinical utility. These studies will provide validated iTTM that are useful for addressing the end plates pathologyâ€™s role in cLBP, identifying sub-phenotypes, discovering pain mechanisms, uncovering treatment targets, and selecting patients."
1R01DA048417-01,"A novel opioid receptor antagonist for treating abuse and overdose","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"UNIVERSITY OF TEXAS HLTH SCIENCE CENTER","France, Charles P","San Antonio, TX",2019,"Deaths from opioid overdose continue to rise; from 2015 to 2016, there was a 28 percent increase in the number of fatal overdoses. Currently available pharmacotherapies include MOR agonists (e.g., buprenorphine) and antagonists (e.g., naloxone), all of which suffer from specific and clear limitations. To address the main deficits in these treatments, the researchers will develop and optimize medications with longer duration of action that prevent and reverse the effects of opioids in a manner that is not surmounted by increasing doses of agonist. Their pilot studies in monkeys show that the pseudo irreversible MOR selective antagonist methocinnamox (MCAM) decreases heroin but not cocaine self-administration, decreases choice for remifentanil in a food/drug choice procedure, and reverses—as well as protects against—respiratory depression by heroin, with a single injection being effective for a week or longer. Bringing a medication like this to marketable fruition could significantly improve the treatment of OUD and save lives by providing insurmountable extended protection after rescue from overdose, including from ultra-potent fentanyl analogs."
1UG3TR003090-01,"Joint Pain on a Chip: Mechanistic Analysis, Therapeutic Targets, and an Empirical Strategy for Personalized Pain Management","Preclinical and Translational Research in Pain Management","Translational Research to Advance Testing of Novel Drugs and Human Cell-Based Screening Platforms to Treat Pain and Opioid Use Disorder",NCATS,"UNIVERSITY OF PITTSBURGH AT PITTSBURGH","GOLD, MICHAEL S; LIN, HANG","Pittsburgh, PA",2019,"The research team developed an in vitro multi-component joint on a chip (microJoint), in which engineered osteochondral complexes, synovium, and adipose tissues were integrated. This study will introduce sensory innervation into the microJoint and a neuron-containing microfluidic ally will be developed to innervate the microJoint. The osteoarthritis (OA) model will be created in the Neu-microJoint system. The research team will assess activation and/or sensitization of nociceptive afferents with electrophysiology, as well as neurite outgrowth. They will mechanically insult the Neu-microJoint and assess the emergence of “pain” in response to prolonged mechanical stress. Researchers will assess the impact of drugs used clinically for management of OA on OA models and will then use “omic” approaches to identify new biomarkers and therapeutic targets. Researchers will assess the impact of opioids—which they hypothesize will increase the rate of joint degeneration and potentiate the release of pain-producing mediators—on neural activity in the presence and absence of joint injury, as well as the integrity of all joint elements."
1U24DA050182-01,"Coordinating Center to Support NIDA Preventing Opioid Use Disorder in Older Adolescents and Young Adults","New Strategies to Prevent and Treat Opioid Addiction","Preventing Opioid Use Disorder",NIDA,"RTI Institute","Graham, Phillip W. (contact); Ridenour, Ty A.","Research Triangle Park, NC",2019,"The Coordinating Center (CC) will provide centralized logistical support and facilitate communication and coordination of activities across the cooperative. The CC will provide scientific leadership, which will include providing scientific expertise in the areas of implementation research and economic evaluation. The CC will establish an infrastructure for cross-site data collection, management, harmonization, and data sharing and provide expert methodological and statistical consultation."
1UG3DA049599-01,"Development of a Potent and Highly Selective NaV1.7 Inhibitor for the Treatment of Acute Pain with the Goal of Reducing Opioid Use and Preventing Opioid Use Disorders","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"University of British Columbia","Hunter, John; Phillips, Anthony","Vancouver, BC, Canada",2019,"no summary"
1UM1DA049417-01,"HEALing Communities Study - Ohio","Translation of Research to Practice for the Treatment of Opioid Addiction","HEALing Communities Study",NIDA,"OHIO STATE UNIVERSITY","JACKSON, REBECCA D","Columbus, OH",2019,"Although there are effective prevention and treatment programs and services to address opioid misuse, opioid use disorder (OUD), and overdose, gaps remain between those needing and those receiving prevention and treatment, in part because of a need to better understand how to make these programs and services most effective at a local level. The National Institutes of Health (NIH) and the Substance Abuse and Mental Health Services Administration (SAMHSA) launched the HEALing Communities Study to generate evidence about how tools for preventing and treating opioid misuse and OUD are most effective at the local level. This multisite implementation research study will test the impact of an integrated set of evidence-based practices across health care, behavioral health, justice, and other community-based settings. The goal of the study is to reduce opioid-related overdose deaths by 40 percent over three years. The Ohio State University is partnering with academic institutions in three other states to study the impact of these efforts in 67 highly affected communities. The study will also look at the effectiveness of coordinated systems of care designed to increase the number of individuals receiving medication to treat OUD, increase the distribution of naloxone, and reduce high-risk opioid prescribing."
1U01DK123818-01,"Reducing Chronic Pain and Opioid Use in Hemodialysis Patients","Clinical Research in Pain Management","Integrated Approach to Pain and Opioid Use in Hemodialysis Patients",NIDDK,"MASSACHUSETTS GENERAL HOSPITAL","KALIM, SAHIR; NIGWEKAR, SAGAR","Boston, MA",2019,"Because pain is a multidimensional phenomenon with physical and psychosocial components, a pain management approach relying solely on analgesics is unlikely to be efficacious. Nonpharmacologic therapies for co-occurring chronic pain and opioid use in hemodialysis patients should target and alter cognitive-affective circuits that govern responses elicited by pain, stress, mood disorders, and opioid-related cues. These domains are directly addressed through the behavioral therapy program known as MORE (Mindfulness-Oriented Recovery Enhancement)—a multipronged mindfulness-oriented individualized group therapy that integrates mindfulness training, cognitive reappraisal, and enhancement of natural reward processing. The specific aims are 1) to determine the impact of MORE on chronic pain and opioid use in hemodialysis patients and 2) to determine predictors of chronic pain, opioid use, and response to MORE."
5UG3DA048385-02,"Development of novel therapeutics for opioid dependence","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI","Kenny, Paul J.","New York, NY",2019,"no summary"
1R34DA046635-01A1,"Treatment of chronic low back pain with transcutaneous auricular vagus nerve stimulation","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"MASSACHUSETTS GENERAL HOSPITAL","Kong, Jian","Boston, MA",2019,"Low back pain (LBP) is one of the most common reasons for all physician visits in the U.S. The financial costs associated with the care of LBP are staggering. The treatments for chronic low back pain (cLBP) are far from satisfactory, and opioids are often prescribed with varying degrees of success. This study builds on prior work suggesting that auricular transcutaneous vagus nerve stimulation (tVNS), a non-invasive therapeutic, can significantly reduce symptoms of chronic pain and common comorbidities of chronic pain, such as depression and anxiety. This proposal aims to investigate the treatment effect and underlying mechanism of tVNS on chronic low back pain. Patients with chronic low back pain will be randomized to either real or sham tVNS treatment for 1 month, with a 3-month follow-up. This study, if successful, could provide new treatment options for chronic low back pain and reduce the use of opioid analgesics in chronic pain management."
1U01DA047982-01,"Long-acting buprenorphine vs. naltrexone opioid treatments in CJS-involved adults","Translation of Research to Practice for the Treatment of Opioid Addiction","Justice Community Opioid Innovation Network",NIDA,"NEW YORK UNIVERSITY SCHOOL OF MEDICINE","LEE, JOSHUA D; FARABEE, DAVID J; MARSCH, LISA A; SCHWARTZ, ROBERT P; SPRINGER, SANDRA ANN; WADDELL, ELIZABETH NEEDHAM","New York, NY",2019,"This study will assess the implementation of an evidence-based treatment in correctional settings by comparing the effectiveness of two medications used to treat opioid use disorder—extended-release buprenorphine (XR-B) vs. extended-release naltrexone (XR-NTX)—among adults currently incarcerated in U.S. jails and prisons at five distinct trial sites. This study will allow providers, correctional and public health authorities, payers, and policymakers’ timely and relevant data to assess the effectiveness of these medications as potentially useful re-entry treatment options. Findings from this study have implications for expanding public safety and limiting the societal costs of heroin, fentanyl, and prescription opioid addictions."
1U24NS114416-01,"Duke Pain Early-phase Research Clinical Center (PERC)","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"DUKE UNIVERSITY","LIMKAKENG, ALEXANDER TAN; KEEFE, FRANCIS J","Durham, NC",2019,"Managing persistent pain has long been a difficult challenge, one that is heightened by the recent opioid crisis. Although many potential solutions may exist, demonstrating their efficacy in a multicenter trial is a considerable obstacle. There is broad consensus that a nationwide clinical research network is necessary to promote innovation. A hub-spoke complex of academic medical centers with considerable experience in pain management clinical trials and biomarker validation will leverage existing resources to make clinical trial execution efficient and rapid. Together, spokes will provide maximum flexibility, ready to accommodate studies in any well-characterized pain condition."
1R44DA049630-01,"Opioid-Sparing pain management for Chronic Low Back Pain patients using TMC-CP01 - A VANISH (Virtual Autonomic Neuromodulation Induced Systemic Healing) based program","New Strategies to Prevent and Treat Opioid Addiction","Small Business Research and Development",NIDA,"TAMADÉ, LLC","LUCAS, GALE; MAHAJAN, AMAN; TIEN, CELINE (Contact)","Pasadena, CA",2019,"Opioids have been found to be ineffective for chronic lower back pain (CLBP), yet they are still commonly prescribed. TAMADÉ, LLC aims to leverage a novel and validated technology based on virtual reality (VR) to provide therapy to CLBP patients on a daily opioid dosage with an opioid-sparing pain management tool aiming to increase pain management efficacy and decrease health complications. The intervention uses VR to stimulate patients’ visual, auditory, and haptic fields in order to simultaneously distract and actively engage patients in biofeedback therapy, where patients consciously self-regulate their nervous system by paring down their sympathetic tone through exercises in controlling respiration and heart rate. The study will compare patients receiving the proposed VR-based intervention with a group receiving either just opioids or opioids with sham VR. All groups will receive the same opioid tapering guidelines."
1UG3TR003148-01,"Multi-organ-on-chip device for modeling opioid reinforcement and withdrawal, and the negative affective component of pain: a therapeutic screening tool.","Preclinical and Translational Research in Pain Management","Translational Research to Advance Testing of Novel Drugs and Human Cell-Based Screening Platforms to Treat Pain and Opioid Use Disorder",NCATS,"UNIVERSITY OF CALIFORNIA LOS ANGELES","MAIDMENT, NIGEL T; ASHAMMAKHI, NUREDDIN ; KHADEMHOSSEINI, ALI ; SEIDLITS, STEPHANIE KRISTIN; SVENDSEN, CLIVE NIELS","Los Angeles, CA",2019,"Researchers will develop multi-organ, microphysiological systems (MPSs) based on human induced pluripotent stem cell-derived midbrain-fated dopamine (DA)/gamma-aminobutyric acid neurons on a three-dimensional platform that incorporates microglia, blood–brain barrier (BBB), and liver metabolism. RNA sequencing and metabolomics analyses will complement the primary DA release measure to identify novel mechanisms contributing to chronic opioid-induced plasticity in DA responsiveness. The chronic pain-relevant aspect of the model will be realized by examination of aversive kappa-mediated opioid effects on DA transmission in addition to commonly abused mu opioid receptor agonists, and by incorporation of inflammatory-mediating microglia. Incorporation of BBB and liver metabolism modules into the microphysiologic system platform will permit screening of drugs. Throughput will be increased by integration of online sensors for online detection of DA and other analytes. Researchers will use a curated set of 100 chemical genomics probes."
1UH2AR076729-01,"The Spine Phenome Project: Enabling Technology for Personalized Medicine","Clinical Research in Pain Management","Back Pain Consortium Research Program",NIAMS,"OHIO STATE UNIVERSITY","MARRAS, WILLIAM S","Columbus, OH",2019,"Current diagnostics and treatments of chronic low back pain (cLBP) rely primarily on subjective metrics and do not target all the multidimensional biopsychosocial mechanisms. This multidisciplinary effort will develop and validate a digital health platform and provide meaningful data-driven metrics that enable an integrated approach to clinical evaluation and treatment of cLBP. This platform will facilitate the use of quantitative spinal motion metrics (function), patient-reported outcomes, and patient preference information to enable deep patient phenotyping and inform clinical decision making on personalized treatments in order to improve outcomes. This effort will involve software and hardware development to enable data collection, analysis, and visualization in clinical settings. The outcome of this project will be a digital health platform with data to support regulatory submission for clinical use. At the end of this effort, the researchers will have a validated tool for integration in clinical research studies supported by the BACPAC Consortium."
1U01DA050442-01,"Using Implementation Interventions and Peer Recovery Support to Improve Opioid Treatment Outcomes in Community Supervision","Translation of Research to Practice for the Treatment of Opioid Addiction","Justice Community Opioid Innovation Network",NIDA,"BROWN UNIVERSITY","MARTIN, ROSEMARIE A; BRINKLEY-RUBINSTEIN, LAUREN ; ROHSENOW, DAMARIS J","Providence, RI",2019,"Individuals who have been previously incarcerated have a significantly higher risk of dying from opioid overdose, particularly in the first two weeks after release. Providing medication for opioid use disorder (MOUD) to individuals on probation or parole decreases the rate of relapse and recidivism, and increases retention in substance abuse treatment. This study will test a systems-change approach for increasing use of MOUD across a network of seven probation and parole sites to improve linkage to the continuum of evidence-based care for justice-involved individuals. Implementation outcomes include program acceptability, adoption, penetration, sustainability, and costs. Client-level effectiveness outcomes include retention, satisfaction, opioid use, opioid overdoses, recidivism, linkage to OUD treatment, and utilization of recovery services. Targeting the intersection of justice and community-based care has substantial potential for addressing the opioid crisis."
1U01DK123786-01,"Randomized ESRD Trial COmparing CBT alone VERsus with buprenorphine (RECOVER)","Clinical Research in Pain Management","Integrated Approach to Pain and Opioid Use in Hemodialysis Patients",NIDDK,"UNIVERSITY OF WASHINGTON","MEHROTRA, RAJNISH; CUKOR, DANIEL ; UNRUH, MARK LYNN","Seattle, WA",2019,"For patients with end-stage renal disease treated with long-term hemodialysis (HD), the safety and efficacy of behavioral interventions alone or augmented by safer drugs remain untested. This study will perform a multicenter parallel group randomized controlled trial to test the efficacy of two interventions to reduce opioid use in HD patients. Seven hundred and twenty HD patients with significant and ongoing opioid use will be randomly assigned to (1) telehealth cognitive behavioral therapy (CBT) alone, (2) telehealth CBT augmented by transdermal buprenorphine, and (3) usual care, with follow-up for up to one year. The primary outcome will be prescribed morphine milligram equivalent (MME) over the preceding four weeks. Three patient-reported outcomes (interference by pain, functional status, and quality of life) will comprise the secondary outcomes."
1UG3TR003150-01,"Human Microphysiological Model of Afferent Nociceptive Signaling","Preclinical and Translational Research in Pain Management","Translational Research to Advance Testing of Novel Drugs and Human Cell-Based Screening Platforms to Treat Pain and Opioid Use Disorder",NCATS,"TULANE UNIVERSITY OF LOUISIANA","MOORE, MICHAEL J; ASHTON, RANDOLPH S; RAJARAMAN, SWAMINATHAN","New Orleans, LA",2019,"This project will develop a human cell-based model of the afferent pain pathway in the dorsal horn of the spinal cord. The research team’s approach utilizes novel human pluripotent stem cell (hPSC)-derived phenotypes in a model that combines 3D organoid culture with microfabricated systems on an integrated, three-dimensional (3D) microelectrode array. Researchers will establish the feasibility of a physiologically relevant, human 3D model of the afferent pain pathway that will be useful for evaluation of candidate analgesic drugs. They will then improve the physiological relevance of the system by promoting neural network maturation before demonstrating the system’s utility in modeling adverse effects of opioids and screening compounds to validate the model. Completion of the study objective will establish novel protocols for deriving dorsal horn neurons from hPSCs and create the first human microphysiological model of the spinal cord dorsal horn afferent sensory pathway."
1R61AT010806-01,"Enhancing Exercise and Psychotherapy to Treat Comorbid Addiction and Pain for Improving Adherence to Medication Assisted Treatment in Opioid Use Disorders","Translation of Research to Practice for the Treatment of Opioid Addiction","Behavioral Research to Improve Medication-Based Treatment",NCCIH,"Case Western Reserve Univ.; Univ. of Colorado-Denver","NOCK, NORA L; WACHHOLTZ, AMY B","Cleveland, OH; Denver, CO",2019,"Exercise could repair structural and functional brain changes caused by opioid use disorder (OUD) and chronic pain by increasing growth and brain-derived neurotrophic factors and promote decreased substance cravings, reduced depression and anxiety, and increased analgesic effects that improve chronic pain. The team’s previous work with Parkinson’s disease and stroke patients showed that “assisted” exercise on a stationary cycle improved motor function and increased dopamine levels. The team also developed a novel self-regulation/cognitive behavioral therapy (CBT) program that co-addresses opioid addiction and pain (STOP) and improves pain tolerance, cravings, and functional engagement in daily activities. This study will take a multiphase optimization strategy approach to refining intervention protocols, testing feasibility, and evaluating the effects of exercise and STOP as adjunctive treatments to medication-assisted treatment (MAT) in adults with an OUD and chronic pain enrolled in residential treatment programs to decrease drug cravings and pain and increase adherence to MAT."
1R34DA050290-01,"2/4 Investigation of opioid exposure and neurodevelopment (iOPEN)","Enhanced Outcomes for Infants and Children Exposed to Opioids","HEALthy Brain and Child Development Study (HBCD)",NIDA,"UNIVERSITY OF PITTSBURGH AT PITTSBURGH","PANIGRAHY, ASHOK; KRANS, ELIZABETH E; LUNA, BEATRIZ","Pittsburgh,PA",2019,"Rates of neonatal abstinence syndrome have reached a staggering 6.5 per 1,000 births nationwide, creating an urgent need to identify how in-utero exposure to opioids and associated risk factors influence the developing brain. A multidisciplinary team will address these challenges in Oregon, a state particularly hard hit by the opioid epidemic. Through linking sites, the impact of the Phase I project is enhanced and will provide critical information to support a national-level effort for Phase II of the HEALthy Brain and Child Development Study. Aim 1 will develop, implement, and evaluate innovative recruitment and retention strategies for high-risk populations. Aim 2 will address anticipated challenges of the planned Phase II study by implementing and evaluating a multi-site, standardized research protocol including multimodal MRI of placenta, fetus, neonate, and 24-month-old brain; biospecimen collection; and assessment of substance use and other key domains. Aim 3 will evaluate data acquisition, processing, and statistical considerations to maximize data quality, usability, and integration across sites."
1UG1DA050066-01,"Reducing Opioid Mortality in Illinois (ROMI)","Translation of Research to Practice for the Treatment of Opioid Addiction","Justice Community Opioid Innovation Network",NIDA,"UNIVERSITY OF CHICAGO","POLLACK, HAROLD ALEXANDER; SCHNEIDER, JOHN","Chicago, IL",2019,"Many opioid harm reduction services are designed and implemented to serve urban populations in traditional centers of opioid use and leave rural patients underserved. The proposed project seeks to demonstrate improved MAT participation, naloxone distribution, and syringe support services (SSPs) among justice-involved persons with opioid use disorders, and thus improve health and criminal justice outcomes across diverse urban and rural settings in Illinois. Reducing Opioid Mortality in Illinois (ROMI) is a multi-site trial that will be carried out using a hub-and-spoke model, with centralized long-standing social services infrastructure at the Community Outreach Intervention Projects (COIP) hosted at the University of Illinois at Chicago. COIP provides case management/transition of care services to justice-involved opioid users, extending resources and technical assistance to less-populated rural areas hardest hit by the opioid epidemic."
1R44DA050357-01,"An optimized screening platform for identifying and quantifying biased agonists as drugs for the treatment of Opioid Use Disorder","New Strategies to Prevent and Treat Opioid Addiction","Small Business Research and Development",NIDA,"MONTANA MOLECULAR, LLC","QUINN, ANNE MARIE","Bozeman, MT",2019,"As the opioid crisis claims more and more lives, there is a need to develop new, safer analgesics. Biased agonists could activate beneficial signaling pathways while avoiding those that cause adverse effects. This project aims to speed the discovery of non-addictive analgesics by providing drug discovery teams with simpler, more robust, more quantitative assays for agonist bias. The goal is to optimize and test new assays for agonist bias at NOP, D3 dopamine, CB1 cannabinoid, and OPRM1 opioid receptors, which couple to both the Gi and ?-arrestin signaling pathway, and create new tools to improve the analysis of structure/activity relationships that can be used in drug discovery and distribute to researchers who are developing new drugs for OUD."
1UH2AR076736-01,"Focused Ultrasound Neuromodulation of Dorsal Root Ganglion for Noninvasive Mitigation of Low Back Pain","Clinical Research in Pain Management","Back Pain Consortium Research Program",NIAMS,"UNIVERSITY OF UTAH","RIEKE, VIOLA","Salt Lake City, UT",2019,"This projectâ€™s goal is to develop a completely noninvasive, precise, and durable treatment option for low back pain (LBP). Focused ultrasound (FUS) is a lower-risk, completely noninvasive modality that enables the delivery of spatially confined acoustic energy to a small tissue region (dorsal root ganglion [DRG]) under magnetic resonance (MR) imaging guidance to treat axial low back pain by neuromodulation. The central goal of this study is to demonstrate neuromodulation of the DRG with FUS to decrease nerve conduction; this treatment can be used to attenuate pain sensation. This exploratory study will demonstrate FUS neuromodulation of the DRG in pigs as assessed by somatosensory evoked potential and perform unique behavioral assessments indicative of supraspinal pain sensation, with the ultimate goal of translating this technology to patients with LBP. FUS could potentially replace current invasive or systemically detrimental treatment modalities."
1UG3NS116218-01,"Novel mGlu5 negative allosteric modulators as first-in-class non-addictive analgesic therapeutics","Preclinical and Translational Research in Pain Management","Development and Optimization of Non-Addictive Therapies to Treat Pain",NINDS,"VANDERBILT UNIVERSITY","ROOK, JERRI MICHELLE; CONN, P JEFFREY; GEREAU, ROBERT W; LINDSLEY, CRAIG","Nashville, TN",2019,"An extensive literature provides compelling evidence that selective antagonists or negative allosteric modulators (NAMs) of the metabotropic glutamate (mGlu) receptor, mGlu5, have exciting potential as a novel approach for treatment of multiple pain conditions that could provide sustained antinociceptive activity without the serious adverse effects and abuse liability associated with opioids. Researchers have developed a novel series of highly selective mGlu5 NAMs that are structurally unrelated to previous compounds, have properties for further development, and avoid the formation of toxic metabolites that were associated with previous mGlu5 NAMs. Based on existing preclinical models, as well as clinical trial data showing efficacy of an mGlu5 NAM in migraine patients, researchers anticipate that their compounds will have broad-spectrum analgesic activity in patients with a variety of chronic pain conditions."
